category_id;name;price;content;img;hit;new;sale
4;test4;1004;"Великолепные джинсы винтажно-голубого цвета. Настоящая находка для любителей качественного денима.

Особенности:

    Зауженные к низу
    Пять карманов
    Высококачественный деним
    Высокая посадка (high fit)
    Выгодно подчеркивают фигуру";product1.jpg;1;1;1
10;Джи;9595;"<p>MR520 &ndash; амбициозный восточноевропейский бренд, который предлагает качественную и стильную одежду, сделанную специально для молодых людей, следящих за своим внешним видом. Женские джинсы фасона boyfriend fit (в переводе с англ. &ndash; &quot;джинсы моего парня&quot;). Модель с зауженными штанинами. Застегивается на пуговицы. Изделие с низкой посадкой. Джинсы дополнены прорезными карманами спереди и накладными карманами сзади. Изделие декорировано эффектом потертости, вареным эффектом и необычными швами.</p>
";"/uploads/Image from iOS (1).jpg";0;0;0
9;"Блуза Mango 53005681-05 M Бежевая";20;"Испанский бренд модной одежды ""Mango"" родился в 1984 году в Барселоне, где и по сей день находится штаб-квартира компании. В том же городе появился и первый магазин — на улице Пасео де Грасия (Paseo de Gracia). Компания, основанная братьями Исааком и Нахманом Андиком (Isaac & Nahman Andic), очень быстро набрала популярность — всего лишь годом позднее был открыт магазин в другом городе, на этот раз в Валенсии. Одежда ""Mango"" отличается высоким качеством, приемлемой ценой, современным дизайном и неповторимым стилем.";product3.jpg;1;1;0
21;"Блуза Tom Tailor TT 20312490071 7610 M Зелёная";70;"

Tom Tailor Group — один из ведущих и быстро развивающихся Fashion холдингов германии и европы, продукция которого ориентирована на целевую аудиторию в возрасте от 0 до 60 лет.

Tom Tailor известен на рынке текстиля с 1962 года и до сих пор сохраняет стандарты немецкого качества. Tom Tailor предлагает повседневную одежду и аксессуары высокого качества для женщин, мужчин и детей.

Одежда от Tom Tailor поможет создать активный повседневный образ с нотками элегантности.";product4.jpg;1;0;1
25;"Блузка Kira Plastinina 17-16-17453-SM-29 S";0;;product5.jpg;1;0;0
28;"Кардиган Levi's Icy Grey Heather M";100;;product6.jpg;1;0;0
28;"Кардиган ONLY ON 15102048 M Black Tan/Partridg";0;"

Casual марка молодежной женской одежды ONLY является частью датской компании Bestseller AS. Изначально Bestseller занимался производством детской одежды, а в 1995 году появилась на свет марка ONLY. Популярность этой марки возрастала быстрыми темпами и теперь ONLY владеет 770 магазинами в более чем 40 странах мира.

ONLY — бренд стильной молодежной одежды. Это бренд для тех, кто любит добиваться успеха и быть не таким, как все. Демократичные цены, модные модели, экологически чистые ткани делают одежду от ONLY сверхпопулярной.";no-image.png;1;1;0
26;"Брюки SK House 2211-1972кор L Коричневые";99;"

Компания SK House — это украинский производитель модной женской одежды с безупречной репутацией и тысячами поклонников по всему СНГ. SK House изготавливает качественный и долговечный товар, созданный из высококачественных тканей. Компания использует современные методы пошива и, изучая текущие мировые тенденции и локальные требования покупателей, создает модели, которые не задерживаются на полках длительное время и быстро раскупаются во всех странах.";no-image.png;0;0;1
26;"Брюки Kira Plastinina 17-07-17418-FL-58 L";0;;product1.jpg;0;0;0
29;"Сумка GUSSACI TUGUS13A060-3-10";15;"Простота, инновационный стиль бренда, высококачественные требования к продукции, благодаря этому GUSSACI Italy пользуется высокой репутацией во многих странах Европы. Превосходное качество, отличный дизайн, соответствующие цены делают ""Гуссачи"" модным и популярным!

Особенности:

Количество основных отделений: 1. Сумка имеет прорезной карман на молнии, а также два небольших накладных кармана для хранения мобильного телефона, разных портативных гаджетов и мелочей. На лицевой стороне модели есть узкий прорезной карман на ""молнии"". На тыльной стороне модели есть прорезной карман на ""молнии"". Особенностью данной модели является возможность изменения ее формы при помощи дополнительной внешней застежки-молнии. Сумка имеет 2 ручки для переноса на локте или в руке. Их длина не регулируется и составляет 45 см, а высота от крайней точки ручки до сумки — 16 см. В комплект к изделию прилагается съемный плечевой ремень. Его длина может регулироваться при помощи металлической пряжки от 78 до 137.5 см. Сумка закрывается при помощи застежки-молнии.

Материал подкладки: плотная ткань.
Материал сумки: кожезаменитель.
Цвет фурнитуры: золото.
Размеры сумки: 26 х 25 х 10.5 см";product3.jpg;0;1;0
